[CONTENT]
1 | count=187
2307d/add_country_modifier | count=1
2308c | count=1
2308d | count=1
2308d/add_country_modifier | count=1
2321c | count=1
2321c/every_location_in_province | count=1
2321c/every_location_in_province/if | count=1
24 | count=1
25 | count=20
25/create_art | count=1
25/every_in_global_list | count=2
25/kill_character | count=1
25/not | count=1
25/ordered_pop/order_by/value | count=1
25/random_in_global_list | count=1
25/random_in_global_list/limit | count=1
25/random_location_in_area | count=3
25/random_location_in_area/limit | count=3
25/ruler | count=1
25/ruler/kill_character | count=1
25/trigger | count=1
26 | count=1
27 | count=1
28 | count=1
29 | count=1
2d_image_test | count=1
3 | count=3
3/nor | count=1
3/nor/has_mutual_scripted_relation | count=1
3/trigger | count=2
3/trigger/any_neighbor_country | count=2
30 | count=12
30/hidden_effect/every_pop/add_pop_size | count=2
30/hidden_effect/every_pop/limit | count=2
31 | count=1
32 | count=1
33 | count=5
33/trigger | count=1
34 | count=1
35 | count=1
36 | count=1
37 | count=1
38 | count=1
39 | count=1
4 | count=21
4/trigger | count=1
4/trigger/any_owned_location | count=1
40 | count=7
40/every_location_in_area/every_pop/limit | count=1
40/every_location_in_area/every_pop/split_pop | count=1
40/hidden_effect/every_pop/add_pop_size | count=1
40/hidden_effect/every_pop/limit | count=1
40/owner | count=1
40/owner/any_primary_or_accepted_culture | count=1
40/trigger | count=2
41 | count=1
42 | count=1
43 | count=1
44 | count=1
5 | count=4
5/random_in_global_list | count=1
5/random_in_list | count=1
5/random_in_list/limit | count=1
5/random_in_list/limit/any_fort_in_country | count=1
5/trigger | count=1
5/trigger/any_in_global_list | count=1
5/trigger/any_in_global_list/any_fort_in_country | count=1
50 | count=7
50/custom_tooltip | count=1
50/custom_tooltip/every_pop | count=1
50/custom_tooltip/every_pop/limit | count=1
50/kill_character | count=1
50/ordered_pop/limit/or | count=1
50/ordered_pop/order_by/value | count=1
500 | count=1
500/trigger | count=1
6 | count=1
60/every_location_in_area/every_pop/limit | count=1
60/every_location_in_area/every_pop/split_pop | count=1
60/hidden_effect/every_pop/add_pop_size | count=1
60/hidden_effect/every_pop/limit | count=1
67 | count=1
7 | count=1
75 | count=4
75/create_art | count=1
75/create_character | count=1
75/custom_tooltip | count=1
8 | count=4
8/trigger | count=2
8/trigger/any_neighbor_country | count=1
8/trigger/any_rebel | count=1
80 | count=1
9 | count=1
90 | count=1
90/ordered_character | count=1
90/ordered_character/limit | count=1
a_a_urughs | count=1
a_a_urughs/combat | count=1
a_absolutism_cawa | count=1
a_absolutism_cawa/combat | count=1
a_absolutism_cawa/impact | count=1
a_absolutism_cawa/limit | count=1
a_absolutism_cawa/limit/add | count=1
a_absolutism_cawa/location_potential | count=1
a_absolutism_cawa_advance | count=1
a_absolutism_janissaries | count=1
a_absolutism_janissaries_advance | count=1
a_age_1_traditions_artillery | count=1
a_age_1_traditions_auxiliary | count=1
a_age_1_traditions_cavalry | count=1
a_age_1_traditions_cavalry/combat | count=1
a_age_1_traditions_cavalry/impact | count=1
a_age_1_traditions_infantry | count=1
a_age_2_renaissance_artillery | count=1
a_age_2_renaissance_auxiliary | count=1
a_age_2_renaissance_cavalry | count=1
a_age_2_renaissance_cavalry/combat | count=1
a_age_2_renaissance_cavalry/impact | count=1
a_age_2_renaissance_infantry | count=1
a_age_3_discovery_artillery | count=1
a_age_3_discovery_auxiliary | count=1
a_age_3_discovery_cavalry | count=1
a_age_3_discovery_cavalry/combat | count=1
a_age_3_discovery_cavalry/impact | count=1
a_age_3_discovery_infantry | count=1
a_age_4_reformation_artillery | count=1
a_age_4_reformation_auxiliary | count=1
a_age_4_reformation_cavalry | count=1
a_age_4_reformation_cavalry/combat | count=1
a_age_4_reformation_cavalry/impact | count=1
a_age_4_reformation_infantry | count=1
a_age_5_absolutism_artillery | count=1
a_age_5_absolutism_auxiliary | count=1
a_age_5_absolutism_cavalry | count=1
a_age_5_absolutism_cavalry/combat | count=1
a_age_5_absolutism_cavalry/impact | count=1
a_age_5_absolutism_infantry | count=1
a_age_6_revolutions_artillery | count=1
a_age_6_revolutions_auxiliary | count=1
a_age_6_revolutions_cavalry | count=1
a_age_6_revolutions_cavalry/combat | count=1
a_age_6_revolutions_cavalry/impact | count=1
a_age_6_revolutions_infantry | count=1
a_akinji | count=1
a_akinji/mercenaries_per_location | count=1
a_akritai | count=1
a_akritai/location_potential | count=1
a_almogavars | count=1
a_almogavars/location_potential | count=1
a_almogavars/mercenaries_per_location | count=1
a_archers | count=1
a_archers/country_potential | count=1
a_archers/mercenaries_per_location | count=1
a_armored_horsemen | count=1
a_armored_horsemen/mercenaries_per_location | count=1
a_arquebusiers | count=1
a_arquebusiers/mercenaries_per_location | count=1
a_baggage_train | count=1
a_baggage_train/mercenaries_per_location | count=1
a_banner_cavalry | count=1
a_banner_cavalry/impact | count=1
a_banner_cavalry/limit | count=1
a_bedouin_cavalry | count=1
a_bedouin_cavalry/impact | count=1
a_bedouin_cavalry/location_potential | count=1
a_bedouin_cavalry/or | count=1
a_bedouin_cavalry_advance | count=1
a_bedouin_cavalry_advance/potential | count=1
a_bedouin_cavalry_advance/potential/culture | count=1
a_bengali_elephant_cavalry | count=1
a_black_guard | count=1
a_brand_new_world | count=1
a_brand_new_world/potential | count=1
a_brave_new_world | count=1
a_brave_new_world/possible | count=1
a_brave_new_world/possible/not | count=1
a_byz_helepolis_cannon_unit | count=1
a_byzantine_cataphracts | count=1
a_byzantine_cataphracts/combat | count=1
a_byzantine_cataphracts/gfx_tags | count=1
a_byzantine_cataphracts/location_potential | count=1
a_cabinet_of_curiosities | count=1
a_cacadores | count=1
a_camp_followers | count=1
a_caroleans | count=1
a_catalan_crossbowmen | count=1
a_catalan_crossbowmen/location_potential | count=1
a_catalan_crossbowmen/mercenaries_per_location | count=2
a_caterans | count=1
a_caterans/mercenaries_per_location | count=1
a_cavaliers | count=1
a_cavaliers/combat | count=1
a_cavalrymen | count=1
a_cavalrymen/mercenaries_per_location | count=1
a_cawa | count=1
a_cawa/combat | count=1
a_cawa/impact | count=1
a_cawa/limit | count=1
a_cawa/limit/add | count=1
a_cawa/location_potential | count=1
a_central_power | count=1
a_central_power/potential | count=1
a_central_power/potential/or | count=1
a_cetbang_cannon | count=1
a_chambered_cannon | count=1
a_chambered_cannon/mercenaries_per_location | count=1
a_champions | count=1
a_champions/country_potential | count=1
a_champions/country_potential/or | count=1
a_champions/mercenaries_per_location | count=1
a_champions_construction | count=1
a_champions_maintenance | count=1
a_chieftains | count=1
a_chieftains/location_potential | count=1
a_chieftains/location_potential/or | count=1
a_chieftains/location_potential/or/owner | count=1
a_chieftains_construction | count=1
a_chieftains_maintenance | count=1
a_clan_retainer_cavalry | count=1
a_clan_retainer_cavalry/country_potential | count=1
a_clan_retainer_cavalry_build | count=1
a_clan_retainer_cavalry_build_cost_modifier | count=2
a_clan_retainer_cavalry_build_cost_modifier/game_data | count=1
a_clan_retainer_cavalry_maintenance | count=1
a_clan_retainer_cavalry_maintenance_cost_modifier | count=2
a_clan_retainer_cavalry_maintenance_cost_modifier/game_data | count=1
a_clan_retainer_cavalry_reinforce | count=1
a_clan_retainer_cavalry_reinforce_cost_modifier | count=2
a_clan_retainer_cavalry_reinforce_cost_modifier/game_data | count=1
a_clan_retainers | count=1
a_clan_retainers/country_potential | count=1
a_clan_retainers_build | count=1
a_clan_retainers_build_cost_modifier | count=2
a_clan_retainers_build_cost_modifier/game_data | count=1
a_clan_retainers_maintenance | count=1
a_clan_retainers_maintenance_cost_modifier | count=2
a_clan_retainers_maintenance_cost_modifier/game_data | count=1
a_clan_retainers_reinforce | count=1
a_clan_retainers_reinforce_cost_modifier | count=2
a_clan_retainers_reinforce_cost_modifier/game_data | count=1
a_conscripts | count=1
a_crossbowmen | count=1
a_crossbowmen/mercenaries_per_location | count=1
a_crusader_knights | count=1
a_crusader_knights/country_potential | count=1
a_crusader_knights/country_potential/or | count=1
a_crusader_knights_base | count=1
a_crusader_knights_levy | count=1
a_cuirassiers | count=1
a_dahomey_amazons | count=1
a_dahomey_amazons/combat | count=1
a_dahomey_amazons/impact | count=1
a_discovery_cawa | count=1
a_discovery_cawa/combat | count=1
a_discovery_cawa/impact | count=1
a_discovery_cawa/limit | count=1
a_discovery_cawa/limit/add | count=1
a_discovery_cawa/location_potential | count=1
a_discovery_cawa_advance | count=1
a_discovery_conquistadors | count=1
a_discovery_janissaries | count=1
a_discovery_janissaries_advance | count=1
a_discovery_qizilbash | count=1
a_dynamic_society | count=1
a_dynamic_society/potential | count=1
a_eagle_warrior | count=1
a_eagle_warrior/country_potential | count=1
a_eagle_warrior/location_potential | count=1
a_early_arquebusiers | count=1
a_early_arquebusiers/mercenaries_per_location | count=1
a_early_longbowmen | count=1
a_early_longbowmen/location_potential | count=1
a_early_longbowmen/mercenaries_per_location | count=1
a_early_paik | count=1
a_early_paik_infantry | count=1
a_esho_cavalry_oyo | count=1
a_esho_cavalry_oyo/country_potential | count=1
a_experimental_riflemen | count=1
a_experimental_riflemen/limit | count=1
a_experimental_riflemen/limit/min | count=1
a_experimental_riflemen/limit/multiply | count=1
a_experimental_riflemen/limit/value | count=1
a_falconet | count=1
a_falconet/mercenaries_per_location | count=1
a_farari_cavalry | count=1
a_farari_cavalry/combat | count=1
a_farari_infantry | count=1
a_fat_roog_religion | count=1
a_fat_roog_religion/definition_modifier | count=1
a_fat_roog_religion/opinions | count=1
a_feudal_levy | count=1
a_flintlock_levy | count=1
a_florentine_citizen_militia | count=1
a_flying_battery | count=1
a_flying_battery/mercenaries_per_location | count=1
a_footmen | count=1
a_footmen/country_potential | count=1
a_footmen/mercenaries_per_location | count=1
a_footmen_levy | count=1
a_fortified_border | count=1
a_fortified_border/potential | count=1
a_fortified_border/potential/or | count=1
a_fusiliers | count=1
a_fusiliers/mercenaries_per_location | count=1
a_gallop_cavalry | count=1
a_gallop_cavalry/mercenaries_per_location | count=1
a_gallowglass | count=1
a_gallowglass/location_potential | count=1
a_gallowglass/mercenaries_per_location | count=1
a_gendarmerie | count=1
a_gendarmerie/combat | count=1
a_genoese_crossbowmen | count=1
a_genoese_crossbowmen/location_potential | count=1
a_genoese_crossbowmen/mercenaries_per_location | count=2
a_ghilman | count=1
a_great_capital | count=1
a_great_capital/enabled | count=1
a_great_capital/on_completion | count=1
a_great_capital/on_completion/if | count=1
a_gurkha | count=1
a_hakkapelitta | count=1
a_halberdiers | count=1
a_halberdiers/mercenaries_per_location | count=1
a_halqah_unit | count=1
a_handgonners | count=1
a_handgonners/mercenaries_per_location | count=1
a_heavy_cavalrymen | count=1
a_heavy_cavalrymen/mercenaries_per_location | count=1
a_heavy_lancers | count=1
a_heavy_lancers/mercenaries_per_location | count=1
a_hobelars | count=1
a_hobelars/combat | count=1
a_hobelars/country_potential | count=1
a_hobelars/country_potential/or | count=1
a_hobelars/location_potential | count=1
a_hobelars/location_potential/or | count=1
a_hobelars/mercenaries_per_location | count=1
a_horsemen | count=1
a_horsemen/mercenaries_per_location | count=1
a_houfnice | count=1
a_houfnice/mercenaries_per_location | count=1
a_hungarian_hussars | count=1
a_hungarian_hussars/impact | count=1
a_hungarian_hussars/mercenaries_per_location | count=1
a_hunters | count=1
a_hunters/mercenaries_per_location | count=1
a_hussars | count=1
a_hussars/mercenaries_per_location | count=1
a_hwacha | count=1
a_hwacha/mercenaries_per_location | count=1
a_indian_elephant_auxiliary | count=1
a_indian_elephant_auxiliary/location_potential | count=1
a_indian_elephant_cavalry | count=1
a_indian_elephant_cavalry/impact | count=1
a_indian_elephant_cavalry/location_potential | count=1
a_iron_helmet_musketeers | count=1
a_iron_helmet_musketeers/location_trigger | count=1
a_iron_helmet_musketeers/location_trigger/or | count=2
a_iron_helmet_musketeers/mercenaries_per_location | count=1
a_iron_pagoda_cavalry | count=1
a_iron_pagoda_cavalry/location_potential | count=1
a_jaguar_warrior | count=1
a_jaguar_warrior/country_potential | count=1
a_jaguar_warrior/location_potential | count=1
a_jazayerchi | count=1
a_jonow_auxiliary | count=1
a_kerns | count=1
a_kerns/mercenaries_per_location | count=1
a_khmer_ballista_elephant_infantry | count=1
a_lancers | count=1
a_lancers/mercenaries_per_location | count=1
a_land_of_banks | count=1
a_land_of_banks/potential | count=1
a_landsknechte | count=1
a_landsknechte/location_trigger | count=1
a_lanzas_de_castilla | count=1
a_lanzas_de_castilla/location_potential | count=1
a_late_almogavars | count=1
a_late_almogavars/location_potential | count=1
a_late_almogavars/mercenaries_per_location | count=1
a_late_cavaliers | count=1
a_late_cavaliers/combat | count=1
a_late_crusader_knights | count=1
a_late_crusader_knights/country_potential | count=1
a_late_crusader_knights/country_potential/or | count=1
a_late_crusader_knights_base | count=1
a_late_crusader_knights_levy | count=1
a_late_gallowglass | count=1
a_late_gallowglass/location_potential | count=1
a_late_gallowglass/mercenaries_per_location | count=1
a_late_karambit_warrior | count=1
a_late_longbowmen | count=1
a_late_longbowmen/location_potential | count=1
a_late_longbowmen/mercenaries_per_location | count=1
a_late_paik | count=1
a_late_paik_infantry | count=1
a_late_winged_hussars | count=1
a_light_dragoons | count=1
a_light_jurchen_cavalry | count=1
a_light_jurchen_cavalry/location_potential | count=1
a_light_lancers | count=1
a_light_lancers/mercenaries_per_location | count=1
a_logistics_corps | count=1
a_logistics_corps/mercenaries_per_location | count=1
a_longbowmen | count=1
a_longbowmen/location_potential | count=1
a_longbowmen/mercenaries_per_location | count=1
a_lour_lances | count=1
a_magnanimous_empire | count=1
a_mailed_knights | count=1
a_mailed_knights/combat | count=1
a_mamluk_unit_renaissance | count=1
a_mamluk_unit_traditions | count=1
a_mandekalu_cavalry | count=1
a_mandekalu_cavalry/combat | count=1
a_mandekalu_infantry | count=1
a_matchlock_levy | count=1
a_mauricians | count=1
a_men_at_arms | count=1
a_men_at_arms/mercenaries_per_location | count=1
a_men_at_arms_levy | count=1
a_men_at_arms_levy/mercenaries_per_location | count=1
a_militiamen | count=1
a_mining_heritage | count=1
a_mining_heritage/potential | count=1
a_mining_heritage/potential/or | count=1
a_moa_hunters | count=1
a_moa_hunters/combat | count=1
a_moa_hunters/location_potential | count=1
a_moa_hunters/location_potential/or | count=1
a_moa_hunters/location_potential/or/owner | count=1
a_modern_nation | count=1
a_modern_nation/potential | count=1
a_moving_city | count=1
a_moving_city/game_data | count=1
a_musketeers | count=1
a_musketeers/mercenaries_per_location | count=1
a_muslim_riders_vijay | count=1
a_muslim_riders_vijay/country_potential | count=1
a_naft_throwers | count=1
a_naft_throwers/country_potential | count=1
a_neverending_crusade | count=1
a_neverending_crusade/potential | count=1
a_new_dawn | count=1
a_new_dawn/potential | count=1
a_new_dawn/potential/not | count=1
a_new_dawn/potential/not/or | count=1
a_noble_cavalry | count=1
a_noble_cavalry/combat | count=1
a_order_knights | count=1
a_order_knights/combat | count=1
a_order_knights/mercenaries_per_location | count=1
a_order_knights_2 | count=1
a_order_knights_2/combat | count=1
a_order_knights_2/mercenaries_per_location | count=1
a_orissan_elephant_cavalry | count=1
a_paik | count=1
a_paik_infantry | count=1
a_peasant_levy | count=1
a_permanent_capital | count=1
a_permanent_capital/potential | count=1
a_pikemen | count=1
a_pikemen/mercenaries_per_location | count=1
a_pile_of_gold | count=1
a_pile_of_gold/happened | count=1
a_pile_of_gold/happened/any_owned_location | count=1
a_pile_of_gold/happened/any_owned_location/or | count=1
a_pile_of_gold/possible | count=1
a_pistoleers | count=1
a_pistoleers/mercenaries_per_location | count=1
a_plated_knights | count=1
a_plated_knights/combat | count=1
a_pontifical_swiss_guard | count=1
a_pontifical_swiss_guard/country_potential | count=1
a_pontifical_swiss_guard/limit | count=1
a_provincial_cavalry | count=1
a_provincial_cavalry/combat | count=1
a_red_cannon | count=1
a_redcoats | count=1
a_reformation_cawa | count=1
a_reformation_cawa/combat | count=1
a_reformation_cawa/impact | count=1
a_reformation_cawa/limit | count=1
a_reformation_cawa/limit/add | count=1
a_reformation_cawa/location_potential | count=1
a_reformation_cawa_advance | count=1
a_reformation_janissaries | count=1
a_reformation_janissaries_advance | count=1
a_reformation_qizilbash | count=1
a_reformation_qizilbash/country_potential | count=1
a_reformed_gallowglass | count=1
a_reformed_gallowglass/location_potential | count=1
a_reformed_gallowglass/mercenaries_per_location | count=1
a_reislaufer | count=1
a_reislaufer/location_trigger | count=1
a_renaissance_cawa | count=1
a_renaissance_cawa/combat | count=1
a_renaissance_cawa/impact | count=1
a_renaissance_cawa/limit | count=1
a_renaissance_cawa/limit/add | count=1
a_renaissance_cawa/location_potential | count=1
a_renaissance_cawa_advance | count=1
a_renaissance_conquistadors | count=1
a_renaissance_janissaries | count=1
a_renaissance_janissaries_advance | count=1
a_resilient_soul | count=1
a_resilient_soul/potential | count=1
a_resilient_soul/potential/or | count=1
a_revolutions_cawa | count=1
a_revolutions_cawa/combat | count=1
a_revolutions_cawa/impact | count=1
a_revolutions_cawa/limit | count=1
a_revolutions_cawa/limit/add | count=1
a_revolutions_cawa/location_potential | count=1
a_revolutions_cawa_advance | count=1
a_revolutions_janissaries | count=1
a_revolutions_janissaries_advance | count=1
a_royal_mortar | count=1
a_royal_mortar/mercenaries_per_location | count=1
a_schiltron | count=1
a_schiltron/location_potential | count=1
a_schiltron/location_potential/any_pop | count=1
a_schiltron/location_potential/any_pop/or | count=1
a_schiltron/mercenaries_per_location | count=1
a_scottish_highlander | count=1
a_scottish_highlander/country_potential | count=1
a_scottish_highlander/location_potential | count=1
a_scottish_highlander/location_potential/or | count=1
a_serbian_hussars | count=1
a_sharpshooters | count=1
a_sharpshooters/mercenaries_per_location | count=1
a_siamese_advanced_elephant_cavalry | count=1
a_sofa_infantry | count=1
a_sofa_infantry/location_potential | count=1
a_sowar_cavalry | count=1
a_sowar_cavalry/country_potential | count=1
a_sowar_cavalry/country_potential/or | count=1
a_sowar_cavalry/mercenaries_per_location | count=1
a_steppe_horde | count=1
a_steppe_horde/combat | count=1
a_steppe_horse_archers | count=1
a_steppe_horse_archers/combat | count=1
a_supply_carts | count=1
a_supply_carts/mercenaries_per_location | count=1
a_supply_convoy | count=1
a_supply_convoy/mercenaries_per_location | count=1
a_tercio | count=1
a_teulu | count=1
a_teulu/combat | count=1
a_thai_elephant_cavalry | count=1
a_the_black_army | count=1
a_the_black_army/location_trigger | count=1
a_tofangchi | count=1
a_tolerant_society | count=1
a_tolerant_society/potential | count=1
a_tolerant_society/potential/or | count=1
a_trading_hub | count=1
a_trading_hub/potential | count=1
a_trading_hub/potential/or | count=1
a_tribal_cavalry | count=1
a_tribal_cavalry/combat | count=1
a_tribesmen | count=1
a_tribesmen_construction | count=1
a_tribesmen_maintenance | count=1
a_true_ethiopian_church | count=1
a_true_ethiopian_church/potential | count=1
a_tupchi | count=1
a_varangians | count=1
a_varangians/country_potential | count=1
a_varangians/limit | count=1
a_varangians/location_potential | count=1
a_villagers | count=1
a_wagenburg | count=1
a_wagon_train | count=1
a_wagon_train/mercenaries_per_location | count=1
a_warriors | count=1
a_warriors/location_potential | count=1
a_warriors/location_potential/or | count=1
a_warriors/location_potential/or/owner | count=1
a_warriors/mercenaries_per_location | count=1
a_warriors_construction | count=1
a_warriors_maintenance | count=1
a_winged_hussars | count=1
aac | count=1
aad | count=1
aai | count=1
aal | count=1
aba | count=2
aba/flag_definition | count=2
aba/flag_definition/trigger | count=1
abacus_advance | count=1
abandon_colonial_charter | count=3
abandon_colonial_charter/ai_will_do | count=1
abandon_colonial_charter/ai_will_do/else | count=1
abandon_colonial_charter/ai_will_do/if | count=1
abandon_colonial_charter/ai_will_do/if/limit | count=1
abandon_colonial_charter/allow | count=1
abandon_colonial_charter/effect | count=1
abandon_colonial_charter/effect/if | count=1
abandon_colonial_charter/effect/if/limit | count=1
abandon_colonial_charter/potential | count=1
abandon_colonial_charter/select_trigger | count=1
abandon_colonial_charter/select_trigger/column | count=1
abandon_colonial_charter/select_trigger/visible | count=1
abandon_colonial_charter_cost_modifier | count=2
abandon_colonial_charter_cost_modifier/game_data | count=1
abandon_colonial_claim | count=1
abandon_colonial_claim/allow | count=1
abandon_colonial_claim/cost | count=1
abandon_colonial_claim/cost/add | count=1
abandon_colonial_claim/potential | count=1
abandon_colonial_claim/select_trigger | count=1
abandon_colonial_claim/select_trigger/interaction_source_list | count=1
abandon_colonial_claim/select_trigger/interaction_source_list/every_colonial_claim_province_definition | count=1
abandon_colonial_claim/visible | count=1
abandon_colonies | count=1
abandon_colonies/cost | count=1
abandon_colonies/cost/add | count=2
abandon_colonies/potential | count=1
abandon_location | count=1
abandon_piracy | count=2
abandon_piracy/cost | count=1
abandon_piracy/cost/add | count=2
abandon_piracy/or | count=1
abandon_piracy/potential | count=1
abandon_piracy_action | count=1
abandon_piracy_action/potential | count=1
abandon_piracy_cost_modifier | count=2
abandon_piracy_cost_modifier/game_data | count=1
abandoned_location_others | count=1
abandoned_location_we | count=1
abau_culture | count=1
abazin_culture | count=1
abb | count=1
abbess_elective_female | count=1
abbey_reform | count=1
abbey_reform/allow | count=1
abbey_reform/potential | count=1
abbot_elective | count=1
abd | count=1
abdicate | count=1
abdicate/price_modifier | count=1
abdicate/price_modifier/if | count=1
abdicate/price_modifier/if/limit | count=1
abdicate/price_modifier/subtract | count=1
abdicate_price | count=1
abdicate_price_cost_modifier | count=2
abdicate_price_cost_modifier/game_data | count=1
abdicated_from_the_imperial_throne | count=1
abdicated_from_the_imperial_throne/game_data | count=1
abenakian_group | count=1
abenakian_language | count=1
abenakian_language/dynasty_names | count=1
abenakian_language/female_names | count=1
abenakian_language/lowborn | count=1
abenakian_language/male_names | count=1
ability | count=1
abipones_culture | count=1
abitibi_culture | count=1
abkhazian_culture | count=1
abl | count=1
ablaq_palace | count=1
ablaq_palace/capital_country_modifier | count=1
ablaq_palace/country_potential | count=1
ablaq_palace/country_potential/custom_tooltip | count=1
ablaq_palace/location_potential | count=1
ablaq_palace/modifier | count=1
ablaq_palace/possible_production_methods | count=1
ablaq_palace_maintenance | count=1
abolish_imperial_examination | count=1
abolish_imperial_examination/country_modifier | count=1
abolish_imperial_examination/estate_preferences | count=1
abolished_serfdom | count=1
abolished_the_geheimer_rat | count=1
abolished_the_geheimer_rat/game_data | count=1
aboriginal_gfx | count=1
aboriginal_gfx/ethnicities | count=1
abort | count=3
abort/or | count=1
abrahamic_gfx | count=1
absense_of_influential_figurine | count=1
absense_of_influential_figurine/game_data | count=1
absentee | count=1
absentee/auto_bestowal_trigger | count=1
absentee/auto_bestowal_trigger/nor | count=1
absentee/auto_bestowal_trigger/nor/has_special_status_in_international_organization | count=3
absentee/auto_rescind_trigger | count=1
absentee/auto_rescind_trigger/or | count=1
absentee/auto_rescind_trigger/or/has_special_status_in_international_organization | count=3
absentee/can_bestow_trigger | count=1
absentee/leader_modifier | count=1
absentee/modifier | count=1
absentee/on_bestowed_effect | count=1
absentee/on_rescinded_effect | count=1
absentee/special_status_power | count=1
absentee_agenda_impact | count=2
absentee_agenda_impact/game_data | count=1
absentee_can_participate_in_parliament | count=2
absentee_can_participate_in_parliament/game_data | count=1
absolute_cognatic_primogeniture | count=1
absolute_cognatic_primogeniture/potential | count=1
absolute_cognatic_primogeniture/potential/nor | count=1
absolute_rule_policy | count=1
absolute_rule_policy/allow | count=1
absolute_rulership | count=2
absolute_rulership/potential | count=1
absolutism | count=1
absolutism_agressive_advance | count=1
absolutism_control_decline_advance | count=1
absolutism_progress_cabinet_efficiency | count=1
absolutism_progress_cabinet_efficiency/game_data | count=1
absolutism_vs_liberalism | count=1
absolutism_vs_liberalism/left_modifier | count=1
absolutism_vs_liberalism/right_modifier | count=1
absolutist_court | count=1
absolutist_influences_government_modifier | count=1
absolutist_influences_government_modifier/game_data | count=1
absorb_institutions | count=2
absorb_institutions/potential | count=1
absorb_institutions_cost_modifier | count=2
absorb_institutions_cost_modifier/game_data | count=1
absorb_pops | count=1
absorb_pops/hidden | count=1
abstain_effect | count=2
abstain_effect/if | count=2
abstain_effect/remove_list_global_variable | count=1
abstain_vote | count=1
abstain_vote/custom_description | count=1
abstain_vote/custom_description/set_vote | count=1
abstain_vote_text | count=1
abt | count=1
abu_religion | count=1
abu_religion/definition_modifier | count=1
abu_religion/opinions | count=1
abun_culture | count=1
abun_language | count=1
abun_language/dynasty_names | count=1
abun_language/female_names | count=1
abun_language/lowborn | count=1
abun_language/male_names | count=1
abundant_free_land | count=1
abundant_free_land/game_data | count=1
abuses_by_estates | count=1
abuses_by_estates/game_data | count=1
abusing_royal_prerogative | count=1
abusing_royal_prerogative/game_data | count=1
abv | count=1
abw | count=1
abwoi_religion | count=1
abwoi_religion/definition_modifier | count=1
abwoi_religion/opinions | count=1
aca | count=1
academia_pontaniana | count=1
academia_pontaniana/potential | count=1
academia_pontaniana/potential/or | count=1
academic_respect | count=1
academy_construction | count=1
academy_of_sciences | count=1
academy_of_sciences/allow | count=1
academy_of_sciences/can_destroy | count=1
academy_of_sciences/capital_country_modifier | count=1
academy_of_sciences/country_potential | count=1
academy_of_sciences/country_potential/custom_tooltip | count=1
academy_of_sciences/country_potential/custom_tooltip/or | count=1
academy_of_sciences/location_potential | count=1
academy_of_sciences/modifier | count=1
academy_of_sciences/possible_production_methods | count=1
acadia_area | count=1
acadia_area/unamakik_province | count=1
acaxee_culture | count=1
accademia_cimento | count=1
accademia_cimento/potential | count=1
accademia_cimento/potential/or | count=1
accept | count=33
accept/add | count=24
accept/add/if | count=17
accept/add/if/limit | count=17
accept/else | count=5
accept/if | count=15
accept/if/add | count=4
accept/if/limit | count=8
accept/if/limit/ruler | count=1
accept/subtract | count=8
accept_economic_support_us | count=1
accept_essence_tenet | count=1
accept_essence_tenet/country_modifier | count=2
accept_essence_tenet/country_modifier/potential_trigger | count=2
