[CONTENT]
100_years_war_longevity | count=1
a_warriors_maintenance | count=1
a_winged_hussars | count=1
aa_kw | count=1
aabenraa | count=1
aaboukingon | count=1
aac | count=1
aachen | count=1
aacistak_province | count=1
aad | count=1
aahkawiraahkata | count=2
aahkawirahkata | count=1
aai | count=1
aakhoe | count=1
aaku | count=1
aal | count=1
aalborg | count=1
aalst | count=1
aankwaahsakwa | count=1
aantaara_point | count=1
aarau | count=1
aargau_province | count=1
aarhus | count=1
aashbikkaashee | count=1
aashbiliihkupe | count=1
aashise | count=1
aashise_province | count=1
aays | count=1
aba | count=2
aba_al_qur | count=1
abaco_coast | count=1
abacoa | count=1
abacus_advance | count=1
abadan | count=1
abadeh | count=1
abadeh_tashk | count=1
abaga | count=1
abagaita | count=1
abaiang_atoll | count=1
abaiang_coast | count=1
abakasnk | count=1
abala | count=1
abalak | count=1
abalessa | count=1
abalessa_djanet_corridor | count=1
aban | count=1
abandon_colonial_charter | count=7
abandon_colonial_charter_cost_modifier | count=2
abandon_colonial_claim | count=1
abandon_colonies | count=1
abandon_location | count=2
abandon_piracy | count=2
abandon_piracy_action | count=1
abandon_piracy_cost_modifier | count=2
abandoned_location_others | count=1
abandoned_location_we | count=1
abare_i | count=1
abarkuh | count=1
abarkuh_province | count=1
abashiri | count=1
abau | count=1
abau_culture | count=1
abazin_culture | count=1
abb | count=1
abbess_elective_female | count=1
abbeville | count=1
abbey_reform | count=1
abbot_elective | count=1
abd | count=1
abdalkuri_coast | count=1
abdalkuri_island | count=1
abdanan | count=1
abdas | count=1
abdicate | count=1
abdicate_government_power_hit | count=1
abdicate_prestige_hit | count=1
abdicate_price | count=1
abdicate_price_cost_modifier | count=2
abdicated_from_the_imperial_throne | count=1
abdulino | count=1
abe | count=1
abegweit_passage | count=1
abemama_atoll | count=1
abemama_coast | count=1
abenakian_group | count=1
abenakian_language | count=1
abengourou | count=1
aberdeen | count=1
aberdeen_lake | count=1
aberdeenshire_province | count=1
aberfeldy | count=1
aberystwyth | count=1
abesehir | count=1
abha | count=1
abha_province | count=1
abhar | count=1
abihka | count=1
abihka_province | count=1
abil | count=1
ability | count=67
abimatinu | count=1
abingdon | count=1
abipones_culture | count=1
abisko | count=1
abitau | count=1
abitibi_culture | count=1
abitibi_province | count=1
abitibi_uplands | count=1
abiward | count=1
abiy_addi | count=1
abiz | count=1
abkhazia_province | count=1
abkhazian_culture | count=1
abl | count=1
ablaq_palace | count=1
ablaq_palace_maintenance | count=1
abo | count=1
abo_skargard | count=1
abolish_imperial_examination | count=1
abolished_serfdom | count=1
abolished_the_geheimer_rat | count=1
abomey | count=1
abong | count=1
aboriginal_gfx | count=1
aborlan | count=1
abort | count=4
abrahamic_gfx | count=1
abrahamtelke | count=1
abruzzo_area | count=1
abruzzo_citra_province | count=1
abruzzo_coast | count=1
abruzzo_ultra_province | count=1
abs | count=4
absense_of_influential_figurine | count=1
absentee | count=1
absentee_agenda_impact | count=2
absentee_can_participate_in_parliament | count=2
absolute_cognatic_primogeniture | count=1
absolute_presidential_power_policy | count=1
absolute_rule_policy | count=1
absolute_rulership | count=2
absolutism | count=1
absolutism_agressive_advance | count=1
absolutism_control_decline_advance | count=1
absolutism_progress_cabinet_efficiency | count=1
absolutism_vs_liberalism | count=1
absolutist_court | count=1
absolutist_influences_government_modifier | count=1
absorb_institutions | count=2
absorb_institutions_cost_modifier | count=2
absorb_pops | count=1
abstain_effect | count=2
abstain_vote | count=1
abstain_vote_text | count=1
abt | count=1
abu | count=1
abu_abyad_island | count=1
abu_dawood_cape | count=1
abu_dhabi | count=1
abu_gamys_cape | count=1
abu_hamed | count=1
abu_jungle | count=1
abu_kemal | count=1
abu_qasr | count=1
abu_rakah | count=1
abu_religion | count=1
abulat_island | count=1
abun | count=1
abun_coast | count=1
abun_culture | count=1
abun_language | count=1
abundant_free_land | count=1
aburakeiru | count=1
aburra | count=1
abuses_by_estates | count=1
abusing_royal_prerogative | count=1
abuta | count=1
abutua | count=1
abv | count=1
abw | count=1
abwoi_religion | count=1
aby_lagoon | count=1
abyan_coast | count=1
abyy | count=1
aca | count=1
academia_pontaniana | count=1
academic_respect | count=1
academy_construction | count=1
academy_of_sciences | count=1
acadia_area | count=1
acadia_coast_sea_province | count=1
acamama_area | count=1
acamama_province | count=1
acambaro | count=1
acanti | count=1
acaponeta | count=1
acapulco_bay | count=1
acarau | count=1
acarau_province | count=1
acari | count=1
acasaguastlan | count=1
acatic | count=1
acaxee_culture | count=1
acay_mountains | count=1
acayucan | count=1
accademia_cimento | count=1
accept | count=33
accept_economic_support_us | count=1
accept_essence_tenet | count=1
accept_person_tenet | count=1
accept_prosopon_tenet | count=1
accept_script_diplomacy_from_player | count=1
accept_script_diplomacy_on_player | count=1
accept_script_diplomacy_other | count=1
accept_subjugation_reasons | count=13
accept_text | count=6
acceptance_language_factor | count=1
acceptance_language_family_factor | count=1
acceptance_of_old_testament | count=1
acceptance_opinion_negative_factor | count=1
acceptance_opinion_positive_factor | count=1
acceptance_pop_size_country_min_max | count=1
acceptance_pop_size_country_multiplier | count=1
acceptance_pop_size_global_min_max | count=1
acceptance_pop_size_global_multiplier | count=1
acceptance_shared_culture_group_factor | count=1
accepted_culture | count=1
accepted_culture_base_cost | count=1
accepted_culture_satisfaction | count=1
accepted_culture_setup_error_if_above_max | count=1
accepted_culture_setup_error_if_below_max | count=1
accepted_demands_modifier | count=1
accepted_diplomatic_offer | count=1
accepted_meuthen_agreement | count=1
accepted_supremacy_of_rome | count=1
accepting_slave_trade | count=1
access_to_royal_and_ecclesiastical_courts | count=1
accessory | count=711
accessory_genes | count=6
accmilother | count=1
accmilus | count=1
accomac | count=1
accomac_culture | count=1
accomplished_overseeing | count=1
accomplished_sailor | count=1
accounts_of_the_atlantic_voyage | count=1
accra | count=1
accra_point | count=1
accumalating_acllas | count=1
aceh_coast_sea_province | count=1
acehnese_culture | count=1
acerenza | count=1
ach | count=2
achacachi | count=1
achachiwa | count=1
achaea_province | count=1
achagua_culture | count=1
achaivayam | count=1
achaka | count=1
acham | count=1
achan | count=1
achava | count=1
achava_coast_sea_province | count=1
achchen_bay | count=1
ache_culture | count=1
achen | count=1
achen_coast_sea_zones_province | count=1
achenese_dialect | count=1
achikamii | count=1
achim | count=1
achit_nuur | count=1
acholi | count=1
achomawi | count=1
achomawi_culture | count=1
achomi_culture | count=1
acl | count=1
aclla_distributed | count=1
aclla_distribution | count=1
aco | count=2
acolapissa_culture | count=1
aconca_hue | count=1
aconcagua_volcano | count=1
aconchi | count=1
aconquija | count=1
acoroazes | count=1
acqui | count=1
acre | count=1
acroas | count=1
act_of_navigation | count=1
act_of_revocation | count=1
acteon | count=1
action | count=1
action_appanage_request_levies_performed_on_us | count=1
action_appanage_seize_court_resources_performed_on_us | count=1
action_ask_for_dukedom_performed_on_us | count=1
action_ask_for_money_performed_on_us | count=1
action_ask_join_war_for_favors_performed_on_us | count=1
action_ask_reject_curia_proposal_performed_on_us | count=1
action_ask_support_curia_proposal_performed_on_us | count=1
action_ask_to_lift_excommunication_performed_on_us | count=1
action_ask_to_lift_interdict_performed_on_us | count=1
action_ask_to_vote_for_me_as_emperor_performed_on_us | count=1
action_assassinate_character_performed_on_us | count=1
action_bestow_elector_status_performed_on_us | count=1
action_bestow_free_city_status_performed_on_us | count=1
action_bestow_kingdom_title_performed_on_us | count=1
action_bolster_imperial_army_performed_on_us | count=1
action_break_others_alliance_performed_on_us | count=1
action_break_subject_union_performed_on_us | count=1
action_bribe_voter_for_policy_performed_on_us | count=1
action_call_appanage_to_war_performed_on_us | count=1
action_call_order_to_crusade_performed_on_us | count=1
action_call_organization_parliament_performed_on_us | count=1
action_change_ruler_performed_on_us | count=1
action_change_subject_court_language_performed_on_us | count=1
action_change_subject_policy_performed_on_us | count=1
action_claim_shugo_office_performed_on_us | count=1
action_demand_additional_tribute_performed_on_us | count=1
action_demand_conversion_to_islam_performed_on_us | count=1
action_demand_silver_tribute_performed_on_us | count=1
action_demand_unlawful_territory_performed_on_us | count=1
action_demote_celestial_governor_to_vassal_performed_on_us | count=1
action_elevate_county_performed_on_us | count=1
action_enforce_culture_performed_on_us | count=1
action_enforce_landfriede_performed_on_us | count=1
action_enforce_religion_performed_on_us | count=1
action_enforce_religious_unity_performed_on_us | count=1
action_excommunicate_performed_on_us | count=1
action_exempt_from_tribute_performed_on_us | count=1
action_force_change_court_language_performed_on_us | count=1
action_force_embargo_performed_on_us | count=1
action_force_embargo_performed_on_us_target | count=1
action_form_closer_bond_iroquois_performed_on_us | count=1
action_formalize_relations_performed_on_us | count=1
action_give_location_to_subject_performed_on_us | count=1
action_give_province_to_subject_performed_on_us | count=1
action_grant_county_privileges_performed_on_us | count=1
action_grant_shugo_office_performed_on_us | count=1
action_improve_cultural_view_performed_on_us | count=1
action_improve_cultural_view_subject_performed_on_us | count=1
action_influence_nation_performed_on_us | count=1
action_intervene_in_subject_civil_war_performed_on_us | count=1
action_intervene_in_subject_regular_war_performed_on_us | count=1
action_invite_artist_performed_on_us | count=1
action_invite_prince_performed_on_us | count=1
action_invite_royal_family_performed_on_us | count=1
action_invite_settlers_performed_on_us | count=1
action_invite_to_prussian_crusade_performed_on_us | count=1
action_lift_excommunication_performed_on_us | count=1
action_lift_interdict_performed_on_us | count=1
action_lordship_of_ireland_assert_regency_performed_on_us | count=1
action_lordship_of_ireland_bestow_lieutenant_status_performed_on_us | count=1
action_lordship_of_ireland_enfeoff_regency_performed_on_us | count=1
action_lordship_of_ireland_rescind_lieutenant_status_performed_on_us | count=1
action_lordship_of_ireland_surrender_and_regrant_performed_on_us | count=1
action_merge_tribe_iroquois_performed_on_us | count=1
action_mil_order_request_funds_performed_on_us | count=1
action_mil_order_request_men_performed_on_us | count=1
action_negotiate_succession_law_performed_on_us | count=1
action_nusta_marriage_performed_on_us | count=1
action_pay_off_debt_performed_on_us | count=1
action_place_interdict_performed_on_us | count=1
action_press_sailors_performed_on_us | count=1
action_promote_member_to_celestial_governor_performed_on_us | count=1
action_propose_ruler_performed_on_us | count=1
action_renegotiate_loan_performed_on_us | count=1
action_request_county_privileges_performed_on_us | count=1
action_request_divorce_performed_on_us | count=1
action_request_elector_status_performed_on_us | count=1
action_request_free_city_status_performed_on_us | count=1
action_request_kingdom_title_performed_on_us | count=1
action_request_loan_performed_on_us | count=1
action_rescind_elector_status_performed_on_us | count=1
action_rescind_free_city_status_performed_on_us | count=1
action_revoke_shugo_office_performed_on_us | count=1
action_sabotage_clans_buildings_performed_on_us | count=1
action_sabotage_reputation_performed_on_us | count=1
action_scout_enemy_holdings_performed_on_us | count=1
action_seize_location_from_subject_performed_on_us | count=1
action_sell_icon_performed_on_us | count=1
action_send_to_prussian_crusade_performed_on_us | count=1
action_share_maps_performed_on_us | count=1
action_siphon_income_performed_on_us | count=1
action_start_war_in_colony_performed_on_us | count=1
action_steal_maps_performed_on_us | count=1
action_steal_technology_performed_on_us | count=1
action_strengthen_ministry_performed_on_us | count=1
action_subject_embargo_rival_performed_on_us | count=1
action_subject_enforce_peace_performed_on_us | count=1
action_subject_return_land_performed_on_us | count=1
action_support_heir_interaction_performed_on_us | count=1
action_surrender_civil_war_performed_on_us | count=1
action_take_colony_for_debt_performed_on_us | count=1
action_take_over_loan_performed_on_us | count=1
action_take_over_seniority_performed_on_us | count=1
action_union_bribe_performed_on_us | count=1
action_union_call_organization_parliament_performed_on_us | count=1
action_upgrade_to_maha_samanta_performed_on_us | count=1
action_upgrade_to_pradhana_maha_samanta_performed_on_us | count=1
action_violate_sovereignty_performed_on_us | count=1
actions | count=81
activate | count=1
activate_avatar | count=2
activate_avatar_cost_modifier | count=5
activate_situation | count=7
active_outbreak | count=1
active_religious_focus | count=1
actor | count=19
actor_at_war | count=24
actor_is_rival | count=9
actor_max_relations | count=2
actor_overlord_is_rival | count=5
actor_trigger | count=3
acu_lagoon | count=1
acuera | count=1
acw | count=1
acx | count=1
ad_dahna1 | count=1
ad_dahna2 | count=1
ad_dahna3 | count=1
ad_dahna4 | count=1
ad_dahna5 | count=1
ad_dawasir | count=1
ad_dibdibah | count=1
ad_dilam | count=1
ad_disah | count=1
ad_dughmiyah | count=1
ada | count=1
adachi | count=1
adachi_kanto | count=1
adakli | count=1
adal_province | count=1
adalaga | count=1
adamawa_area | count=1
adamawa_culture | count=1
adamawa_language | count=1
adamawa_religion | count=1
adamite_marriage | count=1
adamite_services | count=2
adams_bridge | count=1
adan | count=1
adana | count=1
adana_province | count=1
adang_bay | count=1
adanki | count=1
adapt_culture_for_ruler | count=1
adaptability | count=1
adapted_incan_army | count=1
adare | count=1
adat_musi_religion | count=1
adat_puun_religion | count=1
add | count=5574
add_3_noble_privileges | count=2
add_accepted_culture | count=14
add_accepted_culture_cost_modifier | count=12
add_additional_migration | count=2
add_adm | count=154
add_all_estate_satisfaction | count=31
add_antagonism | count=8
add_antagonism_no_duration | count=1
add_army_tradition | count=326
add_artist_skill | count=80
add_avatar | count=6
add_bonus_warscore | count=3
add_breach | count=3
add_casus_belli | count=374
add_casus_belli_mutual_effect | count=2
add_character_modifier | count=464
add_character_modifier_duration | count=1
add_character_modifier_until_death | count=1
add_character_to_random_open_cabinet | count=3
add_colonial_claim | count=11
add_cooldown | count=48
add_core | count=135
add_count_to_mesh_list | count=3
add_country_modifier | count=1407
add_country_modifier_duration | count=1
add_country_modifier_forever | count=1
add_country_to_international_organization | count=85
add_country_to_international_organization_no_update | count=5
add_cultural_influence | count=273
add_cultural_tradition | count=276
add_decree_monthly_celestial_authority_loss | count=2
add_devotion | count=55
add_dip | count=143
add_diplomats | count=35
add_doom | count=83
add_dynasty_modifier_duration | count=1
add_dynasty_modifier_forever | count=1
add_effect_scaling_with_societal_value | count=21
add_enemy_to_international_organization | count=1
add_entity | count=288
add_estate_satisfaction | count=2909
add_estate_satisfaction_utility | count=1
add_extended_winter | count=1
add_favors | count=11
add_fertility | count=12
add_food | count=3
add_food_percentage | count=4
add_god | count=7
add_gold | count=542
add_gold_to_estate | count=87
add_goods_supply | count=57
add_gov_reform | count=1
add_government_power | count=880
add_harmony | count=48
add_head_of_cabinet_modifier | count=1
add_historical_rival | count=2
add_historical_rival_scripted | count=10
add_honor | count=41
add_horde_unity | count=25
add_inflation | count=65
add_international_organization | count=6
add_international_organization_modifier | count=10
add_international_organization_modifier_duration | count=1
add_international_organization_modifier_forever | count=1
add_karma | count=52
add_legitimacy | count=687
add_liberty_desire | count=161
add_location_as_core | count=5
add_location_modifier | count=475
add_location_modifier_duration | count=1
add_location_modifier_forever | count=1
add_location_to_international_organization | count=38
add_location_to_international_organization_cost_modifier | count=2
add_manpower | count=105
add_mercenary_modifier | count=2
add_mercenary_modifier_duration | count=1
add_mercenary_modifier_forever | count=1
add_merchant_power | count=63
add_migration | count=193
add_migration_timeframe | count=1
add_mil | count=119
add_morale | count=4
add_navy_tradition | count=123
add_opinion | count=1053
add_opinion_mutual_effect | count=159
add_opinion_no_duration | count=1
add_organization_donation_opinion_bonus | count=5
add_policy | count=337
add_policy_to_international_organization | count=67
add_policy_wanted_by_estate | count=1
add_pop | count=25
add_pop_satisfaction | count=800
add_pop_size | count=185
add_prestige | count=2376
add_province_modifier | count=62
add_province_modifier_duration | count=1
add_province_modifier_forever | count=1
add_purity | count=16
add_random_dip_regent_trait | count=1
add_random_dip_ruler_trait | count=1
add_random_trait_from_category | count=59
add_rebel_modifier | count=3
add_rebel_modifier_duration | count=1
add_rebel_modifier_forever | count=1
add_rebel_progress | count=71
add_reform | count=139
add_reform_desire | count=8
add_religion_modifier | count=20
add_religion_modifier_duration | count=1
add_religion_modifier_forever | count=1
add_religious_aspect | count=8
add_religious_aspect_christian | count=1
add_religious_aspect_christian_cost_modifier | count=3
add_religious_aspect_inti | count=1
add_religious_aspect_inti_cost_modifier | count=2
add_religious_focus | count=1
add_religious_focus_progress | count=2
add_religious_influence | count=236
add_religious_influence_if_valid | count=74
add_replacing_gov_reform | count=8
add_republican_tradition | count=60
add_research_progress | count=292
add_righteousness | count=79
add_rite_power | count=9
add_rival | count=4
add_road_to | count=9
add_sailors | count=29
add_scientific_breakthrough | count=8
add_scientific_breakthrough_reward | count=8
add_scientific_revolution_rewards | count=1
add_self_control | count=18
add_spy_network | count=26
add_stability | count=1871
add_subunit | count=2
add_subunit_experience | count=8
add_subunit_morale | count=3
add_subunit_strength | count=3
add_subunit_strength_percentage | count=5
add_temporary_demand | count=141
add_to_cabinet | count=6
add_to_global_variable_list | count=110
add_to_list | count=398
add_to_local_variable_list | count=21
add_to_reformer_list | count=10
add_to_revolutionary_list | count=3
add_to_temporary_list | count=5
add_to_variable_list | count=18
add_tolerated_culture | count=4
add_tolerated_culture_cost_modifier | count=2
add_trait | count=410
add_tribal_cohesion | count=90
add_truce_with | count=29
add_truce_with_mutual | count=1
add_trust | count=53
add_trust_mutual_effect | count=6
add_trust_no_duration | count=1
add_unit_modifier | count=6
add_unit_modifier_duration | count=1
add_unit_modifier_forever | count=1
add_unrest_5_modifier | count=1
add_vfx | count=10
add_war_exhaustion | count=76
add_yanantin | count=1
add_yearly_gold | count=16
add_yearly_manpower | count=12
add_yearly_sailors | count=2
additional_colonists | count=1
additional_diplomats | count=1
additional_loyalist_recruitment | count=1
additional_merchants | count=1
additional_tribute | count=1
additional_war_enthusiasm | count=5
additional_war_enthusiasm_attacker | count=3
additional_war_enthusiasm_defender | count=1
additional_years_to_prevent_annexation | count=1
addu_atoll | count=1
addu_coast | count=1
adelantamiento_system | count=1
aden_province | count=1
adena | count=1
adept | count=1
adeqiu | count=1
ader_province | count=1
aderbissinat | count=1
adg | count=1
adh | count=1
adham | count=1
adhari_culture | count=1
adi_granth | count=1
adigrat | count=1
adilabad | count=1
adipati_conversion_ban | count=1
adirondacks | count=1
adirondacks_province | count=1
adixoodagoorahareesh | count=1
adjacent_to_owned_by | count=1
adjacent_to_owned_or_owned_by_subject | count=2
adjacent_to_sea_or_owned_by | count=1
adjective | count=130
adjective_keys | count=1
adjud | count=1
adjukru_province | count=1
adjust_trade_route_chance | count=1
adjust_undefined | count=1
adlur | count=1
adm | count=946
adm_vatican_library | count=1
admin_problems | count=1
administration_of_clerical_lands | count=1
administrative | count=1
administrative_clergy_policy | count=1
administrative_education | count=1
administrative_focus | count=1
administrative_leadership | count=1
administrative_system | count=94
admiral | count=3
admiral_adm | count=1
admiral_all | count=1
admiral_count | count=1
admiral_dip | count=1
admiral_mil | count=1
admiral_percent | count=1
admiral_trait | count=1
admiralty | count=1
admiralty_advance | count=1
admiralty_construction | count=1
admiralty_regime_heir_selection | count=1
admiralty_regime_reform | count=1
admiralty_requirements | count=1
admiralty_sound | count=1
ado | count=1
ado_ekiti | count=1
adolescent | count=1
adolescent_boy | count=278
adolescent_girl | count=277
adoni | count=1
adony | count=1
adopt_character | count=5
adopt_compatible_heir_religion_law | count=2
adopt_ometeotl | count=1
adopted_heir | count=1
adoptionism | count=3
adr | count=1
adra | count=1
adrada | count=1
adranos | count=1
adrar | count=1
adrar_province | count=1
adraskan | count=1
adraskan_province | count=1
adriatic_sea_area | count=1
adriatic_sea_province | count=1
adshusheer | count=1
adu | count=2
adu_adj | count=1
adu_f | count=1
adult | count=1
adult_age | count=1
adult_baptism | count=2
aduma | count=1
advaita_vedanta | count=1
advance | count=1
advance_icon_path | count=1
advance_type | count=1
advanced_anti_piracy_warfare | count=1
advanced_bureaucracy | count=1
advanced_mining | count=1
advanced_paik_system_advance | count=1
advanced_peasant_building_employment | count=1
advances_in_production_modifier | count=1
adventuring_merchants | count=1
advisor_antiliaisons | count=1
advisor_spurious_accusations | count=1
adwa | count=1
adyukh | count=1
adyumba | count=1
adzera | count=1
adzera_culture | count=1
adzera_province | count=1
aegean_archipelago_area | count=1
aegean_sea_area | count=1
aegean_sea_province | count=1
aekyom | count=1
aekyom_culture | count=1
aerzhai | count=1
aeta_culture | count=1
aetolia_province | count=1
afa | count=1
afade | count=1
afanasyevo | count=1
afar_culture | count=1
afar_dialect | count=1
afar_province | count=1
affected_by_shadow | count=12
affordable_loan_cost_fraction | count=1
afghan_culture | count=1
afghani_language | count=1
